Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-12-05,328.0,328.0,328.0,328.0,0,0,0
2017-12-06,328.0,328.0,328.0,328.0,0,0,0
2017-12-07,328.0,328.0,328.0,328.0,0,0,0
2017-12-08,328.0,328.0,328.0,328.0,0,0,0
2017-12-11,328.0,328.0,328.0,328.0,0,0,0
2017-12-12,328.0,328.0,328.0,328.0,0,0,0
2017-12-13,328.0,328.0,328.0,328.0,0,0,0
2017-12-14,328.0,328.0,328.0,328.0,0,0,0
2017-12-15,328.0,328.0,328.0,328.0,0,0,0
2017-12-18,328.0,328.0,328.0,328.0,0,0,0
2017-12-19,328.0,328.0,328.0,328.0,0,0,0
2017-12-20,328.0,328.0,328.0,328.0,0,0,0
2017-12-21,328.0,328.0,328.0,328.0,0,0,0
2017-12-22,328.0,328.0,328.0,328.0,0,0,0
2017-12-26,328.0,328.0,328.0,328.0,0,0,0
2017-12-27,328.0,328.0,328.0,328.0,0,0,0
2017-12-28,328.0,328.0,328.0,328.0,0,0,0
2017-12-29,328.0,328.0,328.0,328.0,0,0,0
2018-01-01,328.0,328.0,328.0,328.0,0,0,0
2018-01-02,328.0,328.0,328.0,328.0,0,0,0
2018-01-03,328.0,328.0,328.0,328.0,0,0,0
2018-01-04,328.0,328.0,328.0,328.0,0,0,0
2018-01-05,328.0,328.0,328.0,328.0,0,0,0
2018-01-08,328.0,328.0,328.0,328.0,0,0,0
2018-01-09,328.0,328.0,328.0,328.0,0,0,0
2018-01-10,328.0,328.0,328.0,328.0,0,0,0
2018-01-11,328.0,328.0,328.0,328.0,0,0,0
2018-01-12,328.0,328.0,328.0,328.0,0,0,0
2018-01-15,328.0,328.0,328.0,328.0,0,0,0
2018-01-16,328.0,328.0,328.0,328.0,0,0,0
2018-01-17,328.0,328.0,328.0,328.0,0,0,0
2018-01-18,328.0,328.0,328.0,328.0,0,0,0
2018-01-19,328.0,328.0,328.0,328.0,0,0,0
2018-01-22,328.0,328.0,328.0,328.0,0,0,0
2018-01-23,328.0,328.0,328.0,328.0,0,0,0
2018-01-24,328.0,328.0,328.0,328.0,0,0,0
2018-01-25,328.0,328.0,328.0,328.0,0,0,0
2018-01-29,328.0,328.0,328.0,328.0,0,0,0
2018-01-30,328.0,328.0,328.0,328.0,0,0,0
2018-01-31,328.0,328.0,328.0,328.0,0,0,0
2018-02-01,328.0,328.0,328.0,328.0,0,0,0
2018-02-02,328.0,328.0,328.0,328.0,0,0,0
2018-02-05,328.0,328.0,328.0,328.0,0,0,0
2018-02-06,328.0,328.0,328.0,328.0,0,0,0
2018-02-07,328.0,328.0,328.0,328.0,0,0,0
2018-02-08,328.0,328.0,328.0,328.0,0,0,0
2018-02-09,328.0,328.0,328.0,328.0,0,0,0
2018-02-12,328.0,328.0,328.0,328.0,0,0,0
2018-02-14,328.0,328.0,328.0,328.0,0,0,0
2018-02-15,328.0,328.0,328.0,328.0,0,0,0
2018-02-16,328.0,328.0,328.0,328.0,0,0,0
2018-02-19,328.0,328.0,328.0,328.0,0,0,0
2018-02-20,328.0,328.0,328.0,328.0,0,0,0
2018-02-21,328.0,328.0,328.0,328.0,0,0,0
2018-02-22,328.0,328.0,328.0,328.0,0,0,0
2018-02-23,328.0,328.0,328.0,328.0,0,0,0
2018-02-26,328.0,328.0,328.0,328.0,0,0,0
2018-02-27,328.0,328.0,328.0,328.0,0,0,0
2018-02-28,328.0,328.0,328.0,328.0,0,0,0
2018-03-01,328.0,328.0,328.0,328.0,0,0,0
2018-03-05,328.0,328.0,328.0,328.0,0,0,0
2018-03-06,328.0,328.0,328.0,328.0,0,0,0
2018-03-07,328.0,328.0,328.0,328.0,0,0,0
2018-03-08,328.0,328.0,328.0,328.0,0,0,0
