Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-26,237.23295523209873,242.21498475379212,231.42056509800332,235.13267517089844,15950,0.0,0
2020-02-27,234.8884495347716,236.40260140926688,225.95009267523517,227.75729370117188,12600,0.0,0
2020-02-28,222.04262523559734,226.4873881431114,213.59268808046446,218.18399047851562,31652,0.0,0
2020-03-02,228.44112208678462,229.5645169520794,206.60806525687147,209.14793395996094,19788,0.0,0
2020-03-03,214.91146134115507,216.9140483939146,202.40751879104363,209.63636779785156,16465,0.0,0
2020-03-04,212.6158170945433,212.6158170945433,195.37406207846223,203.67745971679688,14933,0.0,0
2020-03-05,204.16589403677506,208.5618104155573,200.3561058041736,205.0939178466797,7855,0.0,0
2020-03-06,195.37406589673913,213.6903845745584,193.85991390486774,207.82916259765625,10303,0.0,0
2020-03-09,207.82916259765622,207.82916259765622,207.82916259765622,207.82916259765625,0,0.0,0
2020-03-11,201.9679326559085,208.0245254786868,187.55909586425358,191.56427001953125,13185,0.0,0
2020-03-12,187.55909200304512,187.55909200304512,163.4303992942415,170.0731201171875,22099,0.0,0
2020-03-13,159.66945176544868,183.6516212442008,139.69245658468466,174.37135314941406,27881,0.0,0
2020-03-16,184.14007031368882,184.14007031368882,156.15273932915096,160.84170532226562,17755,0.0,0
2020-03-17,164.94455482665884,166.1167961963145,146.53054385340457,150.34033203125,14620,0.0,0
2020-03-18,157.9599362012338,163.1373521549891,120.64349096491708,126.06512451171875,53213,0.0,0
2020-03-19,122.10879141457637,138.66674054922126,114.7822639297018,136.9083709716797,23949,0.0,0
2020-03-20,138.08063502990862,150.58456404660672,129.23995505502285,137.4945068359375,26148,0.0,0
2020-03-23,131.8774889620663,131.8774889620663,123.76946258544922,123.76946258544922,4145,0.0,0
2020-03-24,126.99314818213813,126.99314818213813,111.46090779850611,115.07533264160156,20300,0.0,0
2020-03-25,111.60743383102087,117.22443815949676,107.94417013853659,112.82852172851562,15299,0.0,0
2020-03-26,113.2192714668638,124.11137701470155,105.599679997211,124.06253051757812,12533,0.0,0
2020-03-27,135.54075593333405,136.46877974954384,126.99314069429498,133.44049072265625,10213,0.0,0
2020-03-30,133.44048740994043,133.44048740994043,122.5972212421191,124.94171142578125,9083,0.0,0
2020-03-31,130.7540933843581,137.3967993862294,128.1653781900528,136.07803344726562,15980,0.0,0
2020-04-01,142.37882955675926,142.37882955675926,128.06768729950292,130.65638732910156,12322,0.0,0
2020-04-03,130.7541050693692,133.4404985885647,126.99314818015188,127.82349395751953,9291,0.0,0
2020-04-07,134.75926430531916,140.57164001464844,129.19110618802773,140.57164001464844,8254,0.0,0
2020-04-08,149.80306532996536,154.5897238012796,144.57680330230255,152.68482971191406,16123,0.0,0
2020-04-09,152.68483573456112,162.8931277135489,151.95218298622433,153.75938415527344,6158,0.0,0
2020-04-13,160.74401829159262,160.74401829159262,145.5536814418275,151.8544921875,4025,0.0,0
2020-04-15,155.17584888481562,166.06794647038305,150.43802209669994,157.1784210205078,11461,0.0,0
2020-04-16,160.0602131890404,162.1604784841727,153.66170940021007,159.3275604248047,9004,0.0,0
2020-04-17,162.01394586843963,164.94455678021708,156.29924862813044,159.91366577148438,5507,0.0,0
2020-04-20,162.01394604459978,162.01394604459978,156.29924879807692,158.74142456054688,6348,0.0,0
2020-04-21,161.1836159244491,165.9214433245721,157.27613432628064,160.84170532226562,17244,0.0,0
2020-04-22,165.4818262272125,166.06795438149044,160.30442545647608,161.2812957763672,5475,0.0,0
2020-04-23,164.94454891228446,164.94454891228446,160.35324677815407,161.67202758789062,2865,0.0,0
2020-04-24,164.8957114786255,177.79039660270502,156.9830559971509,175.3482208251953,16140,0.0,0
2020-04-27,175.83664528612812,182.33282649685611,167.0448130218217,168.94970703125,10034,0.0,0
2020-04-28,170.26848792265625,173.29677676066007,164.06535585946182,164.26072692871094,6544,0.0,0
2020-04-29,163.33271656728465,164.9445615589752,161.18360481755556,163.82115173339844,3520,0.0,0
2020-04-30,166.8983062002756,169.92659535882413,162.64891419148785,164.70034790039062,7924,0.0,0
2020-05-04,163.13732465970446,164.94454050600186,154.83392789558778,157.81338500976562,4196,0.0,0
2020-05-05,157.8622479030693,167.77747557747344,156.29924944626347,158.49720764160156,3321,0.0,0
2020-05-06,159.9136617884818,169.4869935096814,157.61802557494875,164.8957061767578,7036,0.0,0
2020-05-07,167.8263245013434,167.8263245013434,163.38156154975977,165.48182678222656,1323,0.0,0
2020-05-08,167.53325548850285,174.1759764715509,167.38673090668692,171.8803253173828,13567,0.0,0
2020-05-11,174.61556418824588,178.42535235364636,170.0242768103419,176.8135223388672,27019,0.0,0
2020-05-12,178.4742066521563,178.6207461454524,162.16047509103691,166.1656494140625,77264,0.0,0
2020-05-13,169.0474182048589,171.09883701037427,164.60265510078756,166.8006134033203,12317,0.0,0
2020-05-14,169.73121012923735,171.09882255066952,165.57951146420567,167.48440551757812,4956,0.0,0
2020-05-15,167.48441744150293,170.85461714600186,167.04482876802194,168.70550537109375,6206,0.0,0
2020-05-18,169.97543849769312,171.58726859006927,162.64891097624084,163.57693481445312,3464,0.0,0
2020-05-19,168.11938027760203,168.41242943539473,164.84685889424733,166.31216430664062,2547,0.0,0
2020-05-20,166.75176067935143,169.24278297706866,165.57951927626632,166.89830017089844,3301,0.0,0
2020-05-21,168.51013224821608,168.51013224821608,166.0679564185318,166.1656494140625,1374,0.0,0
2020-05-22,167.67978717484021,167.87517316668357,164.60265157946654,165.9214324951172,2174,0.0,0
2020-05-26,167.38674181808526,168.16822617985636,165.09109051427112,165.6283721923828,3022,0.0,0
2020-05-27,165.62836250216608,167.04482145732857,165.23760543828334,165.77488708496094,4509,0.0,0
2020-05-28,167.43558084113923,181.6978946642231,166.31218584184936,173.93177795410156,37666,0.0,0
2020-05-29,174.17599647713456,176.08089078882372,170.36619294789676,171.3430633544922,18243,0.0,0
2020-06-01,174.02943748363757,174.71325861636305,167.2401918992769,168.3636016845703,136116,0.0,0
2020-06-02,169.438162651405,179.10918825541333,166.06796285695043,177.05775451660156,20716,0.0,0
2020-06-03,182.28400695623995,191.6131065508017,176.3250920653717,179.54876708984375,52035,0.0,0
2020-06-04,184.5308047857463,184.5308047857463,174.6155766078404,177.7904052734375,6685,0.0,0
2020-06-05,180.67216782248636,194.54372377838922,179.74414397336082,191.85733032226562,50118,0.0,0
2020-06-08,196.30208166920923,201.72371475642512,184.67733118796173,193.90875244140625,62371,0.0,0
2020-06-09,195.27635886771458,195.27635886771458,183.89582630944633,184.62847900390625,9995,0.0,0
2020-06-10,187.46140797606392,188.53597128771537,182.52822479710812,183.9935302734375,9383,0.0,0
2020-06-11,183.99352341979278,188.53596426486754,175.34821546913847,178.4741973876953,11746,0.0,0
2020-06-12,175.78782180660966,179.0603435402179,171.0500094096375,177.49734497070312,5275,0.0,0
2020-06-15,178.71842494656536,180.3302699440884,173.98061276163259,174.81094360351562,3640,0.0,0
2020-06-16,178.6695727576885,178.76726575049645,168.41243455888954,174.66441345214844,10336,0.0,0
2020-06-17,175.2505338329228,180.23257855198784,170.31735051811077,173.1502685546875,11106,0.0,0
2020-06-18,172.80835316994478,177.39965558599224,171.04999852347177,176.0320281982422,9624,0.0,0
2020-06-19,177.3508054787793,187.5590971057047,176.47161326758163,181.9420928955078,26001,0.0,0
2020-06-22,184.43311890971947,195.52058806890065,183.74931266869837,194.05528259277344,57686,0.0,0
2020-06-23,193.32262365483214,206.90112957499522,187.46140193829325,194.15296936035156,113339,0.0,0
2020-06-24,194.88561536642996,198.59772530696193,182.13745559061235,185.11691284179688,18823,0.0,0
2020-06-25,183.65163079374986,188.34061158242167,183.40741319960924,184.28659057617188,12951,0.0,0
2020-06-26,188.3405971805364,188.3405971805364,178.76726524109836,180.525634765625,18805,0.0,0
2020-06-29,180.62331522184436,180.62331522184436,173.88291601290098,175.10400390625,7890,0.0,0
2020-06-30,179.4510848899498,181.20945454596114,166.0679637348431,171.196533203125,26911,0.0,0
2020-07-01,175.83665636341738,175.83665636341738,169.48699932807176,170.65924072265625,11813,0.0,0
2020-07-02,172.07570026272523,173.88291631031615,166.6052354346796,167.14251708984375,14746,0.0,0
2020-07-03,170.46386735542825,171.9291728054749,167.97284510917737,169.2916259765625,23468,0.0,0
2020-07-06,170.65924954138669,186.58223944939132,170.65924954138669,184.09121704101562,109912,0.0,0
2020-07-07,185.60534747944106,185.60534747944106,175.2016852804363,175.98316955566406,36864,0.0,0
2020-07-08,176.71583777708068,180.72101211605002,173.88291976571298,174.81094360351562,33521,0.0,0
2020-07-09,175.78779848685713,182.6747367297657,174.85977473063133,175.98316955566406,589865,0.0,0
2020-07-10,175.49475031093604,179.59761765642867,172.90604987681857,175.7389678955078,242236,0.0,0
2020-07-13,175.34820544950458,185.50764983075436,175.20168087804547,182.3816680908203,47418,0.0,0
2020-07-14,181.69786992189742,186.1426326242766,174.810931548525,177.10658264160156,39785,0.0,0
2020-07-15,178.66956079093939,180.72099425564352,174.3713377007155,176.7158203125,24015,0.0,0
2020-07-16,178.6695603147946,181.50249294449625,174.71324778118372,179.30453491210938,29486,0.0,0
2020-07-17,180.72101183281248,184.23775099838895,177.59502974444362,178.3276824951172,8366,0.0,0
2020-07-20,181.50251150190525,187.07066943875392,177.79040124205332,184.87271118164062,49137,0.0,0
2020-07-21,188.48713191976918,193.0784196047515,185.6053673551634,191.368896484375,30331,0.0,0
2020-07-22,194.20181505767246,198.30466726121577,186.19148172582936,195.56942749023438,33976,0.0,0
2020-07-23,192.5411424480932,195.96018850441044,186.09379249383758,187.31488037109375,22631,0.0,0
2020-07-24,185.65419208242145,187.55908606913977,182.7724278557597,183.74929809570312,8819,0.0,0
2020-07-27,184.92154264969358,187.31487179841056,180.86752213922537,182.52821350097656,15722,0.0,0
2020-07-28,184.53080143298513,193.32263450105268,182.5282291588343,192.34576416015625,31166,0.0,0
2020-07-29,191.36889479914015,191.36889479914015,183.40740744241216,185.3123016357422,15582,0.0,0
2020-07-30,187.90102035240267,189.6593750817427,178.0834702195798,179.64645385742188,17534,0.0,0
2020-07-31,179.74413696796265,188.53596975443907,176.520461965083,185.65420532226562,18303,0.0,0
2020-08-03,185.60535121882265,185.60535121882265,181.55134556243868,183.8958282470703,4564,0.0,0
2020-08-04,190.39201921778255,190.39201921778255,185.16577195445456,186.0937957763672,6640,0.0,0
2020-08-05,188.38944285850025,204.6543273515422,187.80331471758467,195.5205841064453,76580,0.0,0
2020-08-06,200.16070562515858,211.00397121962072,196.74165979521104,208.36642456054688,112739,0.0,0
2020-08-07,208.36643382177274,212.95772115917052,202.0167769982195,203.775146484375,53551,0.0,0
2020-08-10,205.09391131268382,207.53608700086974,198.0116018169446,199.57460021972656,34224,0.0,0
2020-08-11,195.7159760744469,204.5566406135214,195.7159760744469,198.93963623046875,14211,0.0,0
2020-08-12,198.3046730807332,200.25841370221826,195.8624973038769,196.88821411132812,13477,0.0,0
2020-08-13,197.3278004565522,199.4280656376823,191.66194973949945,193.1761016845703,37552,0.0,0
2020-08-14,192.19923963891068,197.52318001749535,180.96523071465415,186.728759765625,32653,0.0,0
2020-08-17,187.1683522665299,191.12466498971415,180.13487430118542,182.91896057128906,42935,0.0,0
2020-08-18,182.77243061067415,192.68765773320868,182.77243061067415,187.21717834472656,47000,0.0,0
2020-08-19,187.5591143099376,191.66196695429565,187.2660502126565,187.9987030029297,21244,0.0,0
2020-08-20,186.8752917164531,190.29433777277032,180.81869882643417,187.31488037109375,27703,0.0,0
2020-08-21,191.12466607725474,191.9550117852337,182.6747440398916,187.1195068359375,40122,0.0,0
2020-08-24,187.55910531481365,202.70059558762412,187.41258072612982,200.30726623535156,95148,0.0,0
2020-08-25,204.60549090596828,205.5823612515741,196.8393746395737,200.99107360839844,35406,0.0,0
2020-08-26,202.50522629856167,204.94740217069614,199.6722933433705,200.74685668945312,17516,0.0,0
2020-08-27,205.04507659116308,212.7135146547214,202.30985158802784,211.1016845703125,49527,0.0,0
2020-08-28,212.86003310794032,218.81894791988756,210.75976791837385,214.4718780517578,55629,0.0,0
2020-08-31,215.88832290075928,218.96545819243187,193.32261440897065,205.7777099609375,77273,0.0,0
2020-09-01,206.16848667760436,210.66208126407557,198.84195918306162,207.58494567871094,13775,0.0,0
2020-09-02,208.31759952387634,214.86262780558846,204.36127167484204,204.99624633789062,30814,0.0,0
2020-09-03,206.99880402349126,214.81376617491495,198.8907927160751,200.0630340576172,20289,0.0,0
2020-09-04,196.35093016975216,208.757179990351,196.35093016975216,206.7545928955078,34250,0.0,0
2020-09-07,201.2841367423196,212.07855699143929,201.2841367423196,208.0245361328125,22976,0.0,0
2020-09-08,208.02454595381036,210.51556842211158,198.304688583242,198.98849487304688,19146,0.0,0
2020-09-09,196.74167813582244,200.84454543892164,190.97814916182423,194.49488830566406,8792,0.0,0
2020-09-10,198.01160685781556,200.74684667938757,195.37406002860104,198.79310607910156,10676,0.0,0
2020-09-11,198.93962624588303,200.6979957282812,194.64140298300535,199.33038330078125,9178,0.0,0
2020-09-14,201.44307968527943,225.02665974599506,201.44307968527943,220.55560302734375,69557,1.2,0
2020-09-15,224.4370736610885,246.15362720886682,222.22611293765559,243.40220642089844,104633,0.0,0
2020-09-16,245.26922799324632,254.70266560607723,241.8299560501986,253.7200164794922,69279,0.0,0
2020-09-17,253.4743719485484,253.4743719485484,237.50630752926858,242.46868896484375,40249,0.0,0
2020-09-18,241.1420914710978,246.0062166793262,226.00930080604644,230.57861328125,385157,0.0,0
2020-09-21,235.83581034885273,240.74905639778717,226.69716969902728,230.18557739257812,11111,0.0,0
