token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
9610,GBPUSD22JUN1.47PE,GBPUSD,2022-06-28,14700000.0,1,OPTCUR,CDS,1000.000000
1371,EURINR2261774.75CE,EURINR,2022-06-17,747500000.0,1,OPTCUR,CDS,25000.000000
4531,GBPUSD22SEP1.39CE,GBPUSD,2022-09-28,13900000.0,1,OPTCUR,CDS,1000.000000
8563,USDINR2272974.25CE,USDINR,2022-07-29,742500000.0,1,OPTCUR,CDS,25000.000000
1059,EURINR2270189.25PE,EURINR,2022-07-01,892500000.0,1,OPTCUR,CDS,25000.000000
10607,JPYINR2281262.25PE,JPYINR,2022-08-12,622500000.0,1,OPTCUR,CDS,25000.000000
13920,JPYINR2271565.25PE,JPYINR,2022-07-15,652500000.0,1,OPTCUR,CDS,25000.000000
15233,585GS203022AUG94PE,585GS2030,2022-08-25,940000000.0,1,OPTIRC,CDS,25000.000000
13758,USDJPY22DEC123CE,USDJPY,2022-12-28,1230000000.0,1,OPTCUR,CDS,100000.000000
11311,JPYINR2270154CE,JPYINR,2022-07-01,540000000.0,1,OPTCUR,CDS,25000.000000
4336,GBPINR2272293.25CE,GBPINR,2022-07-22,932500000.0,1,OPTCUR,CDS,25000.000000
15517,667GS203522AUG89.25CE,667GS2035,2022-08-25,892500000.0,1,OPTIRC,CDS,25000.000000
5661,EURUSD22JUL1.025PE,EURUSD,2022-07-27,10250000.0,1,OPTCUR,CDS,1000.000000
14830,JPYINR22JUL58.75PE,JPYINR,2022-07-27,587500000.0,1,OPTCUR,CDS,25000.000000
11312,JPYINR2270154PE,JPYINR,2022-07-01,540000000.0,1,OPTCUR,CDS,25000.000000
10579,JPYINR2281259PE,JPYINR,2022-08-12,590000000.0,1,OPTCUR,CDS,25000.000000
3447,667GS203522DEC85.5PE,667GS2035,2022-12-29,855000000.0,1,OPTIRC,CDS,25000.000000
15058,USDJPY22JUL133PE,USDJPY,2022-07-27,1330000000.0,1,OPTCUR,CDS,100000.000000
7538,GBPINR22617103PE,GBPINR,2022-06-17,1030000000.0,1,OPTCUR,CDS,25000.000000
7539,USDJPY22DEC143.5PE,USDJPY,2022-12-28,1435000000.0,1,OPTCUR,CDS,100000.000000
15130,EURINR2261775.25PE,EURINR,2022-06-17,752500000.0,1,OPTCUR,CDS,25000.000000
12700,USDINR23MAR80.25CE,USDINR,2023-03-29,802500000.0,1,OPTCUR,CDS,25000.000000
9140,GBPUSD22JUN1.27CE,GBPUSD,2022-06-28,12700000.0,1,OPTCUR,CDS,1000.000000
6035,GBPINR22AUG103.75CE,GBPINR,2022-08-26,1037500000.0,1,OPTCUR,CDS,25000.000000
5159,GBPUSD22DEC1.365PE,GBPUSD,2022-12-28,13650000.0,1,OPTCUR,CDS,1000.000000
