,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
1973,10388,UTIDFP32P1-MF,UTIDFP32P1,,-1.0,1,,NSE,1.0
1976,2807,CHEMFAB-BL,CHEMFAB,,-1.0,1,,NSE,5.0
1983,17551,IF2GPD-MF,IF2GPD,,-1.0,1,,NSE,1.0
1984,9517,SFMP1DR-MF,SFMP1DR,,-1.0,1,,NSE,1.0
1993,13208,SCPOFA5GR-MF,SCPOFA5GR,,-1.0,1,,NSE,1.0
1994,10051,SFMP6DD-MF,SFMP6DD,,-1.0,1,,NSE,1.0
2012,2234,H3360D30DQ-MF,H3360D30DQ,,-1.0,1,,NSE,1.0
2017,8676,ABSLFTTQDG-MF,ABSLFTTQDG,,-1.0,1,,NSE,1.0
2028,18164,BPF01D1D-MF,BPF01D1D,,-1.0,1,,NSE,1.0
2047,18067,BPF02IQD-MF,BPF02IQD,,-1.0,1,,NSE,1.0
2083,9896,SFMP3GR-MF,SFMP3GR,,-1.0,1,,NSE,1.0
2095,17582,FISTP2QDPD-MF,FISTP2QDPD,,-1.0,1,,NSE,1.0
2101,21653,M16DD-MF,M16DD,,-1.0,1,,NSE,1.0
2107,17994,PGIMCSA4D-MF,PGIMCSA4D,,-1.0,1,,NSE,1.0
2110,5440,H1372D42DQ-MF,H1372D42DQ,,-1.0,1,,NSE,1.0
2131,18064,BPF02IGG-MF,BPF02IGG,,-1.0,1,,NSE,1.0
2152,4648,H1487D42DG-MF,H1487D42DG,,-1.0,1,,NSE,1.0
2204,13287,M&MFIN-BL,M&MFIN,,-1.0,1,,NSE,5.0
2215,9895,SFMP3GD-MF,SFMP3GD,,-1.0,1,,NSE,1.0
2239,18181,FICRFD3GPD-MF,FICRFD3GPD,,-1.0,1,,NSE,1.0
2257,4694,EC6RD-MF,EC6RD,,-1.0,1,,NSE,1.0
2284,5497,SFMP49DD-MF,SFMP49DD,,-1.0,1,,NSE,1.0
2297,19235,IMFA-EQ,IMFA,,-1.0,1,,NSE,5.0
2318,5179,SFMP47DD-MF,SFMP47DD,,-1.0,1,,NSE,1.0
2327,17580,FISTIP2WDP-MF,FISTIP2WDP,,-1.0,1,,NSE,1.0
2335,9522,SFMP1GR-MF,SFMP1GR,,-1.0,1,,NSE,1.0
2351,10403,UTIRGR32P1-MF,UTIRGR32P1,,-1.0,1,,NSE,1.0
2360,19543,HDFCMFGETF-EQ,HDFCMFGETF,,-1.0,1,,NSE,1.0
2404,13554,SCPOFA6GD-MF,SCPOFA6GD,,-1.0,1,,NSE,1.0
2427,5183,SFMP47GR-MF,SFMP47GR,,-1.0,1,,NSE,1.0
2462,3609,IMFFM31DDG-MF,IMFFM31DDG,,-1.0,1,,NSE,1.0
2483,2243,H3360D30RQ-MF,H3360D30RQ,,-1.0,1,,NSE,1.0
2504,10998,UTIDFP32P2-MF,UTIDFP32P2,,-1.0,1,,NSE,1.0
2543,10669,SFMP9DD-MF,SFMP9DD,,-1.0,1,,NSE,1.0
2554,10670,SFMP9DR-MF,SFMP9DR,,-1.0,1,,NSE,1.0
2573,17553,FIIOF2GP-MF,FIIOF2GP,,-1.0,1,,NSE,1.0
2598,4190,MC2DD-MF,MC2DD,,-1.0,1,,NSE,1.0
2607,5979,H1344D43RG-MF,H1344D43RG,,-1.0,1,,NSE,1.0
2609,117,OMFURN-SM,OMFURN,,-1.0,6000,,NSE,5.0
2627,17982,UTIRGR33P1-MF,UTIRGR33P1,,-1.0,1,,NSE,1.0
2631,12792,SUNDRMFAST-BL,SUNDRMFAST,,-1.0,1,,NSE,5.0
2651,8645,SFMP61DD-MF,SFMP61DD,,-1.0,1,,NSE,1.0
2681,17578,FISTIP2QDP-MF,FISTIP2QDP,,-1.0,1,,NSE,1.0
2695,7979,MAMFGETF-EQ,MAMFGETF,,-1.0,1,,NSE,1.0
2728,17560,MI2QPD-MF,MI2QPD,,-1.0,1,,NSE,1.0
2733,18066,BPF02IMR-MF,BPF02IMR,,-1.0,1,,NSE,1.0
2745,1855,EC1DG-MF,EC1DG,,-1.0,1,,NSE,1.0
2759,13990,SFMP21DD-MF,SFMP21DD,,-1.0,1,,NSE,1.0
2762,19544,HDFCMFGETF-BL,HDFCMFGETF,,-1.0,1,,NSE,1.0
2764,17977,UTIDFP33P1-MF,UTIDFP33P1,,-1.0,1,,NSE,1.0
2772,22955,RMFINMRDR2-MF,RMFINMRDR2,,-1.0,1,,NSE,1.0
2797,29983,UFDQIPIPVI-MF,UFDQIPIPVI,,-1.0,1,,NSE,1.0
2801,18201,FISTIPD3WD-MF,FISTIPD3WD,,-1.0,1,,NSE,1.0
2804,3345,SUNDRMFAST-EQ,SUNDRMFAST,,-1.0,1,,NSE,5.0
2816,17432,FICRF2DP-MF,FICRF2DP,,-1.0,1,,NSE,1.0
2831,8553,H1162D46RG-MF,H1162D46RG,,-1.0,1,,NSE,1.0
2836,14700,SFMP23DR-MF,SFMP23DR,,-1.0,1,,NSE,1.0
2838,3109,SFMP41GR-MF,SFMP41GR,,-1.0,1,,NSE,1.0
2866,4649,H1487D42DQ-MF,H1487D42DQ,,-1.0,1,,NSE,1.0
2918,17561,FILDF2GPD-MF,FILDF2GPD,,-1.0,1,,NSE,1.0
2933,20048,M&MFIN-N2,M&MFIN,,-1.0,1,,NSE,1.0
2949,2698,EC2RD-MF,EC2RD,,-1.0,1,,NSE,1.0
2974,253,M17DD-MF,M17DD,,-1.0,1,,NSE,1.0
2987,22850,BSLIQPIRDP-MF,BSLIQPIRDP,,-1.0,1,,NSE,1.0
2988,18165,BPF01D1R-MF,BPF01D1R,,-1.0,1,,NSE,1.0
2989,4662,H1846D27DD-MF,H1846D27DD,,-1.0,1,,NSE,1.0
3005,24061,UTFIAIPRRI-MF,UTFIAIPRRI,,-1.0,1,,NSE,1.0
3008,22961,RMFINMRGG2-MF,RMFINMRGG2,,-1.0,1,,NSE,1.0
3023,30846,UTFDQIPIRI-MF,UTFDQIPIRI,,-1.0,1,,NSE,1.0
3049,18176,IFD3DPD-MF,IFD3DPD,,-1.0,1,,NSE,1.0
3067,9938,IBMFNIFTY-BL,IBMFNIFTY,,-1.0,1,,NSE,1.0
3075,24100,UIAIPRGIII-MF,UIAIPRGIII,,-1.0,1,,NSE,1.0
3089,3160,SFMP42DR-MF,SFMP42DR,,-1.0,1,,NSE,1.0
3110,11015,UTIDGR32P2-MF,UTIDGR32P2,,-1.0,1,,NSE,1.0
3114,13637,JMFINANCIL-EQ,JMFINANCIL,,-1.0,1,,NSE,5.0
3119,256,M17DG-MF,M17DG,,-1.0,1,,NSE,1.0
3136,18179,FICRF3GP-MF,FICRF3GP,,-1.0,1,,NSE,1.0
3153,29732,HDAIF1BDDR-MF,HDAIF1BDDR,,-1.0,1,,NSE,1.0
3165,5106,ABSLFTTJRG-MF,ABSLFTTJRG,,-1.0,1,,NSE,1.0
3211,9890,SFMP3DD-MF,SFMP3DD,,-1.0,1,,NSE,1.0
3242,16898,SFMP27GD-MF,SFMP27GD,,-1.0,1,,NSE,1.0
3283,18063,BPF02IDR-MF,BPF02IDR,,-1.0,1,,NSE,1.0
3290,22844,BSLIQPIIDP-MF,BSLIQPIIDP,,-1.0,1,,NSE,1.0
3291,4651,H1487D42RD-MF,H1487D42RD,,-1.0,1,,NSE,1.0
3328,14756,SFMP23GR-MF,SFMP23GR,,-1.0,1,,NSE,1.0
3393,17436,FICRF2GP-MF,FICRF2GP,,-1.0,1,,NSE,1.0
3402,17996,PGIMCSR2G-MF,PGIMCSR2G,,-1.0,1,,NSE,1.0
3414,18178,FICRF3DP-MF,FICRF3DP,,-1.0,1,,NSE,1.0
3415,5321,EC7RG-MF,EC7RG,,-1.0,1,,NSE,1.0
3424,9516,SFMP1DD-MF,SFMP1DD,,-1.0,1,,NSE,1.0
3462,10156,SFMP8DR-MF,SFMP8DR,,-1.0,1,,NSE,1.0
3477,210,NMFINQRAG1-MF,NMFINQRAG1,,-1.0,1,,NSE,1.0
