token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
509496,ITDCEM,ITDCEM,,-1.0,1,,BSE,5.000000
526947,LAOPALA,LAOPALA,,-1.0,1,,BSE,5.000000
958585,1025MOHFL24,1025MOHFL24,,-1.0,1,,BSE,1.000000
958170,RHFL13AUG18,RHFL13AUG18,,-1.0,2,,BSE,1.000000
949491,104PKHIL25A,104PKHIL25A,,-1.0,1,,BSE,1.000000
961841,880IREDA34,880IREDA34,,-1.0,1,,BSE,1.000000
973124,8STFC31,8STFC31,,-1.0,1,,BSE,1.000000
936810,865TCFS27,865TCFS27,,-1.0,1,,BSE,1.000000
537007,ICICINIFTY,ICICINIFTY,,-1.0,1,,BSE,1.000000
542732,SFMP11DR,SFMP11DR,,-1.0,1,,BSE,1.000000
509845,RJSHAH,RJSHAH,,-1.0,50,,BSE,5.000000
530675,YORKEXP,YORKEXP,,-1.0,1,,BSE,5.000000
505141,SCOOTER,SCOOTER,,-1.0,1,,BSE,5.000000
956836,2EARCL27E,2EARCL27E,,-1.0,1,,BSE,1.000000
532756,MAHINDCIE,MAHINDCIE,,-1.0,1,,BSE,5.000000
937741,11IML26,11IML26,,-1.0,1,,BSE,1.000000
955736,12WRPL37,12WRPL37,,-1.0,100,,BSE,1.000000
958964,0AML22,0AML22,,-1.0,1,,BSE,1.000000
973524,675IIL27,675IIL27,,-1.0,1,,BSE,1.000000
521226,UNIROYAL,UNIROYAL,,-1.0,1,,BSE,5.000000
955398,104PFL26,104PFL26,,-1.0,1,,BSE,1.000000
973810,ZCHDB230222,ZCHDB230222,,-1.0,1,,BSE,1.000000
950235,1BBPL2023A,1BBPL2023A,,-1.0,1,,BSE,1.000000
533090,EXCEL,EXCEL,,-1.0,1,,BSE,1.000000
541347,PARVATI,PARVATI,,-1.0,1,,BSE,1.000000
949783,1019RCL24E,1019RCL24E,,-1.0,1,,BSE,1.000000
959279,7FL24,7FL24,,-1.0,1,,BSE,1.000000
543497,BCCL,BCCL,,-1.0,1600,,BSE,5.000000
514316,RAGHUSYN,RAGHUSYN,,-1.0,1,,BSE,5.000000
973541,1210MLST26,1210MLST26,,-1.0,1,,BSE,1.000000
536859,NFXXV01DG,NFXXV01DG,,-1.0,1,,BSE,1.000000
532834,CAMLINFINE,CAMLINFINE,,-1.0,1,,BSE,5.000000
440014,769HUDC-ML-FL,769HUDC-ML-FL,,-1.0,1,,BSE,1.000000
531648,MAHAVIRIND,MAHAVIRIND,,-1.0,1,,BSE,1.000000
514177,RISHYRN,RISHYRN,,-1.0,100,,BSE,1.000000
956597,850MRHFL27B,850MRHFL27B,,-1.0,1,,BSE,1.000000
810791,692RAJSDL31,692RAJSDL31,,-1.0,10,,BSE,5.000000
810692,703RJSDL36,703RJSDL36,,-1.0,10,,BSE,5.000000
954855,9RCL26A,9RCL26A,,-1.0,1,,BSE,1.000000
958976,0SRPL22,0SRPL22,,-1.0,10,,BSE,1.000000
956948,780YBL27,780YBL27,,-1.0,1,,BSE,1.000000
960324,575BORL23,575BORL23,,-1.0,1,,BSE,1.000000
949319,925RCL2023B,925RCL2023B,,-1.0,1,,BSE,1.000000
950749,965PGC2024,965PGC2024,,-1.0,1,,BSE,1.000000
948718,SIL31DEC12,SIL31DEC12,,-1.0,1,,BSE,1.000000
936332,970STFCL28,970STFCL28,,-1.0,1,,BSE,1.000000
543228,ROUTE,ROUTE,,-1.0,1,,BSE,5.000000
523558,SWISSMLTRY,SWISSMLTRY,,-1.0,1,,BSE,5.000000
959638,11SKFL23,11SKFL23,,-1.0,1,,BSE,1.000000
502175,SAURASHCEM,SAURASHCEM,,-1.0,1,,BSE,5.000000
532904,SUPREMEINF,SUPREMEINF,,-1.0,1,,BSE,1.000000
800340,SGBMAY29,SGBMAY29,,-1.0,1,,BSE,1.000000
954289,881RHFL23K,881RHFL23K,,-1.0,2,,BSE,1.000000
543429,SFMP56GR,SFMP56GR,,-1.0,1,,BSE,1.000000
959565,119FMFL23,119FMFL23,,-1.0,1,,BSE,1.000000
533329,INDTERRAIN,INDTERRAIN,,-1.0,1,,BSE,5.000000
958523,851IREDA29,851IREDA29,,-1.0,1,,BSE,1.000000
722782,SKL280422,SKL280422,,-1.0,1,,BSE,1.000000
542878,ABDBSPDG,ABDBSPDG,,-1.0,1,,BSE,1.000000
973149,14NGCPL24,14NGCPL24,,-1.0,10,,BSE,1.000000
936444,0KFLSRV,0KFLSRV,,-1.0,1,,BSE,1.000000
541889,H1487D42RD,H1487D42RD,,-1.0,1,,BSE,1.000000
973132,BBT30MAR21,BBT30MAR21,,-1.0,10,,BSE,1.000000
953287,9RHFL26,9RHFL26,,-1.0,2,,BSE,1.000000
952140,884LTFL25,884LTFL25,,-1.0,1,,BSE,1.000000
512505,MEENST,MEENST,,-1.0,50,,BSE,1.000000
543417,RATEGAIN,RATEGAIN,,-1.0,1,,BSE,5.000000
800146,0727GOI13,0727GOI13,,-1.0,10,,BSE,5.000000
959134,EFIL261219B,EFIL261219B,,-1.0,10,,BSE,1.000000
531432,SYTIXSE,SYTIXSE,,-1.0,1,,BSE,1.000000
722745,AFL22422,AFL22422,,-1.0,1,,BSE,1.000000
722322,SCCL280122,SCCL280122,,-1.0,1,,BSE,1.000000
538897,SHRINIWAS,SHRINIWAS,,-1.0,1,,BSE,1.000000
539174,HELPAGE,HELPAGE,,-1.0,1,,BSE,1.000000
539997,KPL,KPL,,-1.0,1,,BSE,5.000000
500069,QUESTCAP,QUESTCAP,,-1.0,1,,BSE,5.000000
959514,124320PFS23,124320PFS23,,-1.0,1,,BSE,1.000000
960260,1172VFPL23,1172VFPL23,,-1.0,1,,BSE,1.000000
