,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
488,15161,HITECHCORP-EQ,HITECHCORP,,-1.0,1,,NSE,5.0
497,3321,SPMLINFRA-EQ,SPMLINFRA,,-1.0,1,,NSE,5.0
498,18118,THANGAMAYL-EQ,THANGAMAYL,,-1.0,1,,NSE,5.0
500,17270,ASPINWALL-EQ,ASPINWALL,,-1.0,1,,NSE,5.0
501,13035,SAFARI-EQ,SAFARI,,-1.0,1,,NSE,5.0
505,11511,CENTEXT-EQ,CENTEXT,,-1.0,1,,NSE,5.0
507,7227,MAPMYINDIA-EQ,MAPMYINDIA,,-1.0,1,,NSE,5.0
509,13116,QUICKHEAL-EQ,QUICKHEAL,,-1.0,1,,NSE,5.0
510,17598,ASALCBR-EQ,ASALCBR,,-1.0,1,,NSE,5.0
515,17094,CROMPTON-EQ,CROMPTON,,-1.0,1,,NSE,5.0
518,422,BHARATFORG-EQ,BHARATFORG,,-1.0,1,,NSE,5.0
525,13522,NECCLTD-EQ,NECCLTD,,-1.0,1,,NSE,5.0
526,10939,JUNIORBEES-EQ,JUNIORBEES,,-1.0,1,,NSE,1.0
527,15119,EDELWEISS-EQ,EDELWEISS,,-1.0,1,,NSE,5.0
533,1023,FEDERALBNK-EQ,FEDERALBNK,,-1.0,1,,NSE,5.0
534,1044,AXISBNKETF-EQ,AXISBNKETF,,-1.0,1,,NSE,1.0
539,1660,ITC-EQ,ITC,,-1.0,1,,NSE,5.0
540,7463,MANAKSTEEL-EQ,MANAKSTEEL,,-1.0,1,,NSE,5.0
541,16222,EBBETF0423-EQ,EBBETF0423,,-1.0,1,,NSE,1.0
542,14597,ALPHAGEO-EQ,ALPHAGEO,,-1.0,1,,NSE,5.0
544,11399,SALZERELEC-EQ,SALZERELEC,,-1.0,1,,NSE,5.0
545,11309,BALAXI-EQ,BALAXI,,-1.0,1,,NSE,5.0
546,12347,ELGIEQUIP-BL,ELGIEQUIP,,-1.0,1,,NSE,5.0
548,21508,COCHINSHIP-EQ,COCHINSHIP,,-1.0,1,,NSE,5.0
549,16045,PRINCEPIPE-EQ,PRINCEPIPE,,-1.0,1,,NSE,5.0
553,2454,CENTRUM-EQ,CENTRUM,,-1.0,1,,NSE,5.0
554,10753,UNIONBANK-EQ,UNIONBANK,,-1.0,1,,NSE,5.0
556,13211,JAGRAN-EQ,JAGRAN,,-1.0,1,,NSE,5.0
557,19937,KILITCH-EQ,KILITCH,,-1.0,1,,NSE,5.0
568,6278,MEDICAMEQ-EQ,MEDICAMEQ,,-1.0,1,,NSE,5.0
569,383,BEL-EQ,BEL,,-1.0,1,,NSE,5.0
597,212,ASHOKLEY-EQ,ASHOKLEY,,-1.0,1,,NSE,5.0
598,1100,GARFIBRES-EQ,GARFIBRES,,-1.0,1,,NSE,5.0
599,14922,PURVA-EQ,PURVA,,-1.0,1,,NSE,5.0
